time,success,failure,min_runtime,mean_runtime,max_runtime,submission_failure
1429649822,132,0,105,309.325757576,539,0
1429660622,172,0,96,303.034883721,746,0
1429671422,171,0,127,361.245614035,1271,0
1429682222,175,0,108,325.52,736,0
1429693022,173,0,103,302.404624277,862,0
1429703822,173,0,83,265.462427746,743,0
1429714621,174,0,87,271.908045977,861,0
1429725422,170,0,95,327.770588235,691,0
1429736221,165,0,133,382.054545455,1720,0
1429747022,176,0,91,310.045454545,874,0
1429757822,172,0,92,309.168604651,810,0
1429768622,164,9,96,315.493902439,707,0
1429779422,172,0,111,339.110465116,1265,0
1429790222,171,0,127,330.976608187,1307,0
1429801026,173,0,126,433.971098266,1439,0
1429811826,169,0,129,473.946745562,1351,0
1429822622,173,0,130,537.023121387,1566,0
1429833422,175,0,145,473.994285714,1430,0
1429844221,173,0,118,442.410404624,1215,0
1429855022,177,0,113,409.231638418,1852,0
1429865822,172,0,126,437.697674419,861,0
1429876622,177,0,130,393.468926554,746,0
1429887422,173,0,134,373.358381503,689,0
1429898222,172,2,113,432.174418605,1279,0
1429909022,165,5,116,345.084848485,960,0
1429919822,172,0,128,365.587209302,1346,0
1429930622,152,6,100,340.421052632,1480,0
1429941422,171,0,118,345.883040936,1256,0
1429952221,172,0,133,375.651162791,1065,0
1429963022,171,0,124,346.730994152,1077,0
1429973822,174,0,149,435.126436782,969,0
1429984621,172,1,137,449.011627907,1046,0
1429995423,173,0,103,554.161849711,3279,0
1430006222,174,0,84,373.965517241,2119,0
1430017022,172,0,147,412.843023256,3589,0
1430027822,173,0,110,375.826589595,973,0
1430038622,177,0,118,380.073446328,848,0
1430049422,174,0,132,357.195402299,848,0
1430060222,173,0,132,399.312138728,996,0
1430071022,174,0,138,433.425287356,988,0
1430081822,172,0,107,450.418604651,1365,0
1430092622,175,0,112,417.977142857,1228,0
1430103422,171,0,142,426.602339181,1068,0
1430114222,174,0,150,465.522988506,1135,0
1430125022,176,0,113,554.102272727,1730,0
1430135823,174,0,143,468.373563218,990,0
1430146622,172,0,164,527.738372093,2466,0
1430157422,173,0,149,436.312138728,1261,0
1430168222,169,0,149,634.917159763,3120,0
1430179023,174,0,132,471.551724138,1549,0
1430189822,173,0,156,489.87283237,1156,0
1430200622,167,0,139,472.359281437,1048,0
1430211422,172,0,153,529.284883721,1114,0
1430222222,175,0,131,521.868571429,1412,0
1430233023,175,0,100,368.685714286,1636,0
1430243822,170,1,114,378.088235294,728,0
1430254622,173,0,137,402.49132948,859,0
1430265422,171,0,133,460.438596491,1128,0
1430276222,172,0,146,765.790697674,2652,0
1430287022,174,0,100,705.287356322,2141,0
1430297822,176,0,117,715.897727273,3136,0
1430308623,169,0,135,756.585798817,2052,0
1430319423,180,0,125,701.072222222,3664,0
1430330222,176,0,113,465.602272727,1128,0
1430341022,168,6,112,390.869047619,1128,0
1430351822,170,0,113,503.105882353,1101,0
1430362622,170,0,111,482.070588235,995,0
1430373428,180,0,150,464.127777778,935,0
1430384223,171,0,141,463.964912281,1100,0
1430395023,174,0,175,530.804597701,1004,0
1430405822,174,0,123,509.390804598,1255,0
1430416622,143,0,108,472.328671329,1100,0
1430427422,105,1,161,521.647619048,1032,0
1430438222,149,0,136,490.268456376,1238,0
1430449022,173,0,137,484.156069364,2023,0
1430459822,173,0,146,462.89017341,1242,0
1430470622,172,0,129,516.563953488,1122,0
1430481422,178,0,54,234.426966292,1002,0
1430492222,164,0,64,411.530487805,1110,0
1430503022,166,6,101,484.915662651,4165,0
1430513822,179,0,60,474.826815642,1563,0
1430524622,168,0,73,288.81547619,1055,0
1430535422,172,0,164,414.761627907,926,0
1430546222,175,0,137,417.062857143,1324,0
1430557022,169,0,116,435.828402367,1929,0
1430567823,172,0,157,433.25,1507,0
1430578622,173,0,127,400.676300578,1085,0
1430589422,163,0,153,612.441717791,2141,0
1430600222,177,0,169,650.689265537,1784,0
1430611022,173,0,152,590.023121387,1662,0
1430621822,173,0,172,539.976878613,1998,0
1430632622,175,0,143,551.817142857,2032,0
1430643422,171,0,170,511.169590643,1330,0
1430654222,171,0,205,537.204678363,1902,0
1430665022,173,0,194,548.843930636,2118,0
1430675822,173,0,181,550.526011561,1481,0
1430686622,175,0,155,539.194285714,1654,0
1430697422,175,0,160,523.268571429,1776,0
1430708222,172,0,149,593.73255814,2693,0
1430719022,172,0,171,689.505813953,2387,0
1430729822,175,0,140,607.034285714,3336,0
1430740622,175,0,131,505.114285714,2578,0
1430751422,168,0,160,466.571428571,1052,0
1430762222,172,1,130,603.854651163,2052,0
1430773022,177,0,103,582.971751412,1770,0
1430783823,165,0,134,429.993939394,1014,0
1430794622,168,0,129,509.44047619,1664,0
1430805429,168,0,101,606.511904762,2573,0
1430816223,171,2,165,463.859649123,1032,0
1430827025,173,0,147,477.676300578,2197,0
1430837822,168,0,112,459.005952381,1162,0
1430848628,168,2,127,529.910714286,1777,0
1430859501,112,2,115,537.973214286,3828,0
1430870222,120,11,114,684.433333333,7992,0
1430881022,172,0,177,491.86627907,1767,0
1430891822,168,7,179,498.863095238,1402,0
1430902622,175,0,168,495.742857143,1516,0
1430913422,175,0,131,382.102857143,911,0
1430924222,174,0,99,294.942528736,838,0
1430935022,170,0,173,472.335294118,2135,0
1430945822,173,3,136,469.537572254,2178,0
1430956622,173,0,121,341.184971098,652,0
1430967422,173,0,100,314.930635838,804,0
1430978222,174,0,127,318.270114943,616,0
1430989022,172,0,121,406.924418605,1098,0
1430999822,172,0,186,544.319767442,1285,0
1431010622,171,0,173,544.929824561,1165,0
1431021425,167,0,164,532.934131737,1087,0
1431032222,4,0,488,708.25,918,0
1431043022,0,0,0,0,0,0
1431053822,0,0,0,0,0,0
1431064622,0,0,0,0,0,0
1431075422,0,0,0,0,0,0
1431086222,0,0,0,0,0,0
1431097023,0,0,0,0,0,0
1431107822,0,0,0,0,0,0
1431118622,0,0,0,0,0,0
1431129422,169,4,166,520.230769231,1450,0
1431140222,172,0,97,336.220930233,952,0
1431151022,175,0,110,328.194285714,683,0
1431161822,176,0,111,320.681818182,1763,0
1431172622,172,0,119,303.563953488,1074,0
1431183422,170,0,114,316.817647059,647,0
1431194223,171,0,97,321.052631579,626,0
1431205023,173,0,92,357.329479769,755,0
1431215822,175,0,109,364.891428571,1008,0
1431226624,173,1,104,294.300578035,679,0
1431237422,173,0,124,349.809248555,2212,0
1431248222,172,0,111,299.546511628,741,0
1431259022,174,0,105,343.752873563,858,0
1431269822,172,0,136,359.279069767,675,0
1431280622,172,0,102,343.465116279,712,0
1431291422,174,0,118,362.109195402,979,0
1431302222,169,0,110,323.763313609,783,0
1431313022,174,1,118,294.270114943,1009,0
1431323822,172,0,110,327.88372093,692,0
1431334622,173,0,158,358.219653179,641,0
1431345422,174,0,136,362.959770115,868,0
1431356222,173,4,164,368.63583815,706,0
1431367022,162,3,109,327.50617284,675,0
1431377822,169,0,152,358.763313609,825,0
1431388622,167,0,125,423.80239521,3063,0
1431399422,172,0,99,320.453488372,1169,0
1431410222,144,0,140,365.083333333,688,0
1431421022,170,0,159,382.952941176,784,0
1431431822,177,0,169,406.86440678,892,0
1431442622,176,0,159,417.403409091,1446,0
1431453422,175,0,126,392.257142857,963,0
1431464222,167,0,103,408.574850299,1314,0
1431475022,160,3,110,381.94375,793,0
1431485823,174,3,98,314.637931034,925,0
1431496623,162,5,91,444.179012346,1991,0
1431507422,169,3,116,305.982248521,853,0
1431518222,168,1,103,350.517857143,1212,0
1431529022,171,1,113,346.005847953,976,0
1431539822,171,0,101,308.964912281,1215,0
1431550622,173,0,106,322.36416185,1082,0
1431561422,177,0,120,348.129943503,1136,0
1431572222,158,0,93,821.556962025,7838,0
1431583022,177,0,132,362.203389831,753,0
1431593822,172,0,113,355.994186047,1041,0
1431604622,171,0,104,341.502923977,682,0
1431615422,171,0,118,388.251461988,728,0
1431626222,169,0,127,373.816568047,745,0
1431637023,138,19,105,517.702898551,3003,0
1431647822,164,0,121,338.792682927,776,0
1431658622,170,3,126,315.264705882,646,0
1431669422,170,1,104,392.5,1407,0
1431680222,171,0,110,359.192982456,1543,0
1431691023,172,0,127,346.959302326,1260,0
1431701822,173,0,147,417.38150289,1771,0
1431712622,172,0,117,441.581395349,2135,0
1431723422,174,0,129,485.551724138,3579,0
1431734223,165,0,92,365.442424242,3426,0
1431745022,177,0,146,413.141242938,788,0
1431755824,173,0,90,373.768786127,981,0
1431766622,171,0,109,385.631578947,1079,0
1431777422,174,0,88,397.908045977,1528,0
1431788222,176,0,104,329.164772727,937,0
1431799023,168,1,95,301.06547619,1648,0
1431809822,176,1,108,356.6875,677,0
1431820623,172,1,110,340.040697674,1191,0
1431831422,174,0,111,378.402298851,1153,0
1431842222,172,0,117,352.023255814,1435,0
1431853022,173,0,125,321.61849711,1162,0
1431863822,172,0,111,353.697674419,945,0
1431874622,170,0,94,378.317647059,917,0
1431885422,172,0,124,371.848837209,1305,0
1431896222,173,0,140,392.87283237,2044,0
1431907022,169,0,119,391.224852071,1718,0
1431917823,173,0,95,348.861271676,1583,0
1431928622,172,0,135,376.98255814,814,0
1431939422,159,17,146,366.691823899,864,0
1431950223,173,0,122,387.398843931,838,0
1431961022,175,0,142,404.714285714,845,0
1431971824,175,0,89,398.16,1021,0
1431982623,173,0,125,378.398843931,782,0
1431993422,150,1,125,404.926666667,1441,0
1432004222,171,3,128,449.099415205,1725,0
1432015022,161,6,135,547.48447205,2085,0
1432025824,175,3,150,477.977142857,1892,0
1432036623,176,0,113,450.909090909,1756,0
1432047424,172,0,119,363.697674419,762,0
1432058223,171,0,118,354.052631579,643,0
1432069023,175,0,118,377.742857143,717,0
1432079822,170,0,132,389.541176471,670,0
1432090622,172,0,89,331.255813953,708,0
1432101422,173,0,129,403.208092486,1283,0
1432112222,170,0,130,388.041176471,735,0
1432123022,176,0,102,343.1875,786,0
1432133822,171,0,126,397.064327485,815,0
1432144622,171,0,103,417.49122807,922,0
1432155422,124,0,114,425.451612903,780,0
1432166223,0,0,0,0,0,0
1432177022,0,0,0,0,0,0
1432187822,172,1,113,385.901162791,754,0
1432198622,173,0,137,429.427745665,1040,0
1432209424,130,0,145,395.138461538,732,0
1432241822,71,0,71,199.197183099,717,0
1432252622,106,66,73,397.094339623,831,0
1432263423,143,20,118,410.363636364,863,0
1432274238,175,1,62,361.794285714,853,0
1432285022,170,2,59,298.094117647,1764,0
1432295822,170,0,121,314.811764706,724,0
1432306623,158,14,106,285.183544304,674,0
1432317422,154,17,98,294.37012987,794,0
1432328222,175,0,122,326.582857143,611,0
1432339022,172,0,127,320.401162791,797,0
1432349823,171,0,143,368.812865497,637,0
1432360622,173,0,155,456.393063584,775,0
1432371422,172,0,164,485.808139535,981,0
1432382222,173,0,141,441.369942197,956,0
1432393024,174,0,90,330.41954023,846,0
1432403822,169,0,182,432.828402367,790,0
1432414623,172,0,158,445.546511628,899,0
1432425423,178,0,140,390.202247191,835,0
1432436223,175,0,93,291.52,679,0
1432447023,174,0,120,275.925287356,498,0
1432457822,170,0,103,299.676470588,666,0
1432468622,171,0,116,321.970760234,1075,0
1432479422,173,0,110,286.820809249,527,0
1432490222,172,0,107,255.331395349,505,0
1432501022,175,0,109,278.811428571,602,0
1432511823,172,0,121,332.273255814,754,0
1432522622,170,0,126,379.376470588,700,0
1432533422,167,0,125,435.347305389,1325,0
1432544222,174,0,181,565.396551724,2178,0
1432555022,170,0,161,559.776470588,1355,0
1432565822,178,0,132,493.146067416,2288,0
1432576622,170,0,168,453.252941176,1589,0
1432587422,176,0,123,394.943181818,1490,0
1432598223,172,0,136,338.203488372,672,0
1432609022,173,0,132,424.184971098,1083,0
1432619823,175,0,127,394.365714286,791,0
1432630623,175,0,166,442.205714286,1042,0
1432641423,173,0,143,413.780346821,1157,0
1432652222,171,0,126,394.339181287,897,0
1432663028,175,0,147,421.508571429,887,0
1432673823,173,0,107,357.387283237,939,0
